ID,Latitudine,Longitudine,Alloggio,Tipologia,Prezzo,Cibo,Animali ammessi,Stagione rilevante,Souvenir locali,Località
25,43.58495984617636,10.6591396705979,No,Visite storico-culturali,324,Gluten-free,No,Primavera-estate,No,Autunno-inverno
26,46.728097635377985,10.695495532203392,No,Gastronomia,468,Vegetarian,Sì,Primavera-estate,No,Nessuna informazione
27,41.220203117194394,15.735018308227836,No,Visite storico-culturali,438,Gluten-free,Sì,Nessuna informazione,Sì,Autunno-inverno
28,44.54373472141076,10.170546259477419,No,All'aperto,56,Vegan,Sì,Autunno-inverno,Sì,Nessuna informazione
29,43.26136501084078,12.909999322699889,No,Visite storico-culturali,207,Gluten-free,No,Nessuna informazione,No,Autunno-inverno
30,44.468391770406214,7.44415859608662,No,Visite storico-culturali,110,Nessuna informazione,No,Primavera-estate,No,Primavera-estate
31,44.322569743165005,11.060958110889615,No,Visite storico-culturali,248,Vegetarian,No,Primavera-estate,Sì,Nessuna informazione
32,41.9536295273285,14.602935683393536,Sì,Villaggio turistico,342,Vegan,No,Nessuna informazione,Sì,Autunno-inverno
33,39.0776983874091,16.37242342164116,Sì,Villaggio turistico,249,Gluten-free,Sì,Autunno-inverno,No,Nessuna informazione
34,46.5237957464252,11.686127960939663,No,Visite storico-culturali,74,Nessuna informazione,Sì,Autunno-inverno,No,Primavera-estate
35,44.90874918684978,9.390658238108266,Sì,Villaggio turistico,306,Nessuna informazione,Sì,Primavera-estate,Sì,Primavera-estate
36,46.0742894761293,12.938558156645026,Sì,Villaggio turistico,361,Vegan,No,Primavera-estate,Sì,Primavera-estate
37,40.47058284127616,16.716543911621322,Sì,Hotel,486,Nessuna informazione,Sì,Nessuna informazione,No,Primavera-estate
38,45.976074470214975,13.322563359373202,No,Gastronomia,312,Vegan,Sì,Primavera-estate,Sì,Nessuna informazione
39,41.52072243161214,13.015876832242968,Sì,Bed & Breakfast,318,Gluten-free,Sì,Primavera-estate,No,Primavera-estate
40,42.67813362930002,13.07103611944725,No,Visite storico-culturali,252,Vegetarian,Sì,Primavera-estate,Sì,Nessuna informazione
41,40.73786736563935,16.25504731028176,No,All'aperto,406,Vegetarian,Sì,Nessuna informazione,No,Autunno-inverno
42,39.254002136718476,8.733489269260737,No,Gastronomia,322,Vegan,Sì,Nessuna informazione,Sì,Primavera-estate
43,43.660994965668635,12.708445764784454,Sì,Bed & Breakfast,323,Nessuna informazione,No,Primavera-estate,Sì,Nessuna informazione
44,40.48085086175925,17.7629082503337,No,Visite storico-culturali,466,Nessuna informazione,No,Nessuna informazione,Sì,Primavera-estate
45,39.045436826847116,16.178373746128596,No,Visite storico-culturali,175,Vegan,Sì,Nessuna informazione,No,Nessuna informazione
46,41.09087798887004,16.986602039844414,No,Gastronomia,331,Vegan,Sì,Nessuna informazione,Sì,Primavera-estate
47,46.31088567775336,12.0155467385398,Sì,Ostello,453,Vegan,No,Autunno-inverno,Sì,Nessuna informazione
48,43.19089685665557,12.852341049219298,No,Gastronomia,250,Gluten-free,Sì,Nessuna informazione,No,Autunno-inverno
49,44.87398939772303,9.163221583117977,No,Gastronomia,59,Nessuna informazione,No,Nessuna informazione,No,Autunno-inverno
50,46.64655894095815,11.468031636586495,No,Gastronomia,181,Gluten-free,No,Autunno-inverno,No,Nessuna informazione
51,45.74658925163193,13.339221932949691,Sì,Hotel,23,Vegetarian,Sì,Nessuna informazione,No,Nessuna informazione
52,39.95578548315126,16.126544271561077,No,Gastronomia,390,Vegetarian,No,Autunno-inverno,No,Primavera-estate
53,41.07929356522614,16.2658610842162,No,Gastronomia,109,Vegan,Sì,Autunno-inverno,No,Nessuna informazione
54,45.01438103922674,8.976631339289916,No,Gastronomia,258,Gluten-free,No,Primavera-estate,Sì,Primavera-estate
55,41.51680793405259,15.017415547441253,Sì,Villaggio turistico,269,Gluten-free,No,Autunno-inverno,Sì,Primavera-estate
56,45.1382693987691,9.31703551446925,Sì,Villaggio turistico,56,Vegetarian,No,Primavera-estate,No,Nessuna informazione
57,42.89946638019975,11.224304417328428,No,Gastronomia,79,Vegetarian,No,Autunno-inverno,Sì,Primavera-estate
58,40.94281182514457,15.276053991222174,Sì,Bed & Breakfast,55,Gluten-free,No,Autunno-inverno,Sì,Autunno-inverno
59,42.84674592697667,12.045098572155137,No,Gastronomia,323,Vegan,Sì,Autunno-inverno,Sì,Autunno-inverno
60,40.665826178021454,16.508343043294026,No,Gastronomia,283,Gluten-free,No,Primavera-estate,Sì,Autunno-inverno
61,40.120458963937565,8.740616797124838,No,Visite storico-culturali,115,Vegan,No,Nessuna informazione,No,Primavera-estate
62,38.267991899238034,16.09878536018225,Sì,Villaggio turistico,454,Nessuna informazione,No,Nessuna informazione,Sì,Nessuna informazione
63,43.43053379326714,12.856754584336027,No,Visite storico-culturali,136,Nessuna informazione,Sì,Primavera-estate,Sì,Nessuna informazione
64,46.13061142250676,10.567104551858245,Sì,Bed & Breakfast,172,Gluten-free,No,Primavera-estate,Sì,Autunno-inverno
65,40.159022867627996,16.591881104991092,Sì,Bed & Breakfast,491,Vegan,No,Nessuna informazione,Sì,Primavera-estate
66,46.372724271651656,8.328942770444801,No,Visite storico-culturali,61,Vegetarian,Sì,Autunno-inverno,Sì,Primavera-estate
67,40.508734784002705,16.90085735780945,Sì,Hotel,155,Nessuna informazione,No,Autunno-inverno,No,Primavera-estate
68,40.381750753431284,8.734388816450208,Sì,Bed & Breakfast,490,Vegan,No,Primavera-estate,Sì,Primavera-estate
69,43.84633791839849,11.75618056559115,Sì,Bed & Breakfast,271,Vegetarian,Sì,Nessuna informazione,No,Nessuna informazione
70,44.88783844056622,6.837900840022288,Sì,Bed & Breakfast,157,Nessuna informazione,No,Autunno-inverno,Sì,Autunno-inverno
71,42.73566637809249,13.918975693117607,Sì,Ostello,482,Vegetarian,No,Primavera-estate,Sì,Primavera-estate
72,45.01284148177738,12.36332750579472,No,All'aperto,110,Gluten-free,Sì,Nessuna informazione,No,Nessuna informazione
73,43.65006573559806,10.491785884871542,No,Visite storico-culturali,327,Nessuna informazione,Sì,Primavera-estate,No,Primavera-estate
74,42.39504825840309,12.953937177148655,No,All'aperto,346,Vegetarian,No,Nessuna informazione,No,Primavera-estate
75,45.282698276426835,8.420759069384374,Sì,Ostello,135,Vegan,Sì,Nessuna informazione,No,Primavera-estate
76,42.590486472049555,11.760490290359291,Sì,Hotel,377,Vegetarian,No,Primavera-estate,No,Primavera-estate
77,46.04332724247232,8.642365871250774,No,Visite storico-culturali,340,Vegetarian,Sì,Autunno-inverno,Sì,Nessuna informazione
78,45.02811824648938,10.806474334426682,No,Visite storico-culturali,382,Vegetarian,No,Autunno-inverno,Sì,Autunno-inverno
79,44.37039974797713,6.879419818165342,No,Gastronomia,121,Gluten-free,No,Autunno-inverno,Sì,Nessuna informazione
80,43.59050290481502,11.693877539014364,Sì,Hotel,116,Nessuna informazione,No,Primavera-estate,Sì,Autunno-inverno
81,41.21393600274595,13.789937567898296,Sì,Hotel,345,Nessuna informazione,No,Autunno-inverno,Sì,Nessuna informazione
82,39.360149277564226,9.575992432077474,Sì,Hotel,274,Gluten-free,Sì,Nessuna informazione,No,Nessuna informazione
83,41.21295367932773,16.181021391389006,Sì,Hotel,497,Vegan,No,Nessuna informazione,No,Primavera-estate
84,45.366999954300844,9.317601288913608,No,Visite storico-culturali,36,Nessuna informazione,No,Nessuna informazione,No,Autunno-inverno
85,44.86986223276791,10.465588917090763,No,Visite storico-culturali,414,Gluten-free,Sì,Autunno-inverno,No,Nessuna informazione
86,46.81783952118279,11.922983745474713,Sì,Ostello,393,Gluten-free,Sì,Nessuna informazione,No,Nessuna informazione
87,44.70579892812607,11.26655224757716,Sì,Ostello,174,Vegetarian,No,Nessuna informazione,Sì,Nessuna informazione
88,40.80548050216688,14.54823070410175,Sì,Bed & Breakfast,204,Gluten-free,Sì,Autunno-inverno,Sì,Autunno-inverno
89,44.92356044551075,8.36167738797539,No,All'aperto,412,Vegetarian,Sì,Primavera-estate,No,Nessuna informazione
90,45.26834187459585,7.272726098855336,No,Gastronomia,324,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
91,39.95494295518059,9.3168059366781,Sì,Hotel,283,Gluten-free,Sì,Primavera-estate,No,Autunno-inverno
92,42.72399799353696,12.335476966228445,No,Visite storico-culturali,411,Nessuna informazione,Sì,Autunno-inverno,Sì,Primavera-estate
93,45.744822717502885,9.772604199882426,No,Visite storico-culturali,69,Gluten-free,No,Nessuna informazione,Sì,Nessuna informazione
94,41.55685874182298,15.061772062556493,Sì,Ostello,336,Gluten-free,Sì,Nessuna informazione,Sì,Autunno-inverno
95,40.25450910834906,16.49685131067021,No,Gastronomia,329,Vegetarian,No,Primavera-estate,No,Autunno-inverno
96,45.325201066871195,10.87196628479208,Sì,Bed & Breakfast,284,Gluten-free,No,Nessuna informazione,Sì,Autunno-inverno
97,45.505214071026096,10.659506173058347,No,Gastronomia,137,Vegan,No,Autunno-inverno,No,Primavera-estate
98,40.72171098193249,14.693021335851142,Sì,Villaggio turistico,142,Nessuna informazione,Sì,Primavera-estate,Sì,Nessuna informazione
99,44.27160218906098,10.195376803004189,No,Gastronomia,282,Vegan,Sì,Nessuna informazione,Sì,Nessuna informazione
100,42.59818856755832,12.89570278992084,No,Gastronomia,470,Vegan,Sì,Primavera-estate,Sì,Nessuna informazione
101,42.47744791683121,13.579698640727056,No,Visite storico-culturali,32,Gluten-free,Sì,Autunno-inverno,Sì,Nessuna informazione
102,41.504506448741985,15.018289648191303,No,Gastronomia,499,Vegetarian,Sì,Primavera-estate,No,Primavera-estate
103,37.58788109236868,14.537898878745679,No,Gastronomia,110,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
104,44.99270930806673,10.720791693420075,Sì,Bed & Breakfast,119,Vegetarian,No,Nessuna informazione,Sì,Autunno-inverno
105,39.55298109515024,9.259537461412258,No,Visite storico-culturali,498,Vegan,Sì,Nessuna informazione,Sì,Primavera-estate
106,44.77448903582657,8.828325841792518,Sì,Villaggio turistico,423,Vegan,Sì,Autunno-inverno,No,Autunno-inverno
107,45.656496700834886,7.0740126296259245,No,All'aperto,368,Gluten-free,No,Primavera-estate,Sì,Autunno-inverno
108,44.8736896771484,10.19213001932946,Sì,Bed & Breakfast,91,Gluten-free,No,Primavera-estate,No,Nessuna informazione
109,45.74950524260963,12.423125702869598,Sì,Bed & Breakfast,55,Vegan,No,Primavera-estate,No,Primavera-estate
110,44.75994773889093,11.905510173469189,Sì,Villaggio turistico,215,Vegetarian,No,Autunno-inverno,No,Autunno-inverno
111,44.82473540903019,8.51838641225208,No,Visite storico-culturali,279,Gluten-free,No,Primavera-estate,No,Autunno-inverno
112,46.680580863288036,11.686258094187306,No,Visite storico-culturali,48,Vegan,Sì,Primavera-estate,No,Autunno-inverno
113,40.26960067534884,9.004111055375855,Sì,Villaggio turistico,462,Nessuna informazione,No,Nessuna informazione,Sì,Autunno-inverno
114,40.97347725588061,16.55355966340748,No,Gastronomia,177,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
115,46.106992488959825,9.971182377186494,No,Visite storico-culturali,458,Gluten-free,No,Primavera-estate,Sì,Nessuna informazione
116,44.87789842258255,11.90050886601793,No,Visite storico-culturali,20,Gluten-free,Sì,Nessuna informazione,Sì,Nessuna informazione
117,44.57018081027854,9.339950051170796,Sì,Bed & Breakfast,472,Vegetarian,Sì,Autunno-inverno,No,Nessuna informazione
118,44.469292977401906,7.565789426580822,Sì,Hotel,313,Nessuna informazione,Sì,Autunno-inverno,No,Primavera-estate
119,41.35524032441904,13.147524333205165,No,Gastronomia,26,Vegetarian,No,Primavera-estate,No,Autunno-inverno
120,45.41501722124024,8.583952067184983,No,Visite storico-culturali,212,Vegan,Sì,Autunno-inverno,Sì,Autunno-inverno
121,41.996489123386645,14.346076804430187,No,Gastronomia,52,Nessuna informazione,No,Primavera-estate,No,Primavera-estate
122,37.27365604631658,14.801666131241731,No,Gastronomia,60,Nessuna informazione,No,Autunno-inverno,No,Autunno-inverno
123,43.17541512649908,11.772643928927359,No,Visite storico-culturali,439,Nessuna informazione,Sì,Primavera-estate,Sì,Nessuna informazione
124,38.94671192621951,16.83427024866308,Sì,Hotel,83,Gluten-free,Sì,Primavera-estate,No,Nessuna informazione
125,46.983690642823426,12.10674060212894,No,All'aperto,169,Vegetarian,No,Nessuna informazione,Sì,Autunno-inverno
126,39.14152251348278,16.413941839936328,No,Gastronomia,253,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
127,44.78384459975501,11.36730757765738,No,Gastronomia,83,Vegan,Sì,Primavera-estate,Sì,Nessuna informazione
128,43.969273357252234,11.499934068874612,No,All'aperto,209,Nessuna informazione,Sì,Nessuna informazione,No,Nessuna informazione
129,45.84948951833758,13.262296820262238,No,Gastronomia,216,Gluten-free,Sì,Primavera-estate,No,Primavera-estate
130,42.086773704136306,13.129966406216106,Sì,Ostello,130,Vegan,No,Primavera-estate,Sì,Autunno-inverno
131,40.92161358518541,8.197065489174696,No,Visite storico-culturali,468,Vegan,No,Autunno-inverno,Sì,Primavera-estate
132,46.11877081731026,12.693813938647871,No,All'aperto,394,Nessuna informazione,Sì,Primavera-estate,Sì,Autunno-inverno
133,46.05955537495131,10.256366623326292,No,Visite storico-culturali,487,Nessuna informazione,No,Primavera-estate,No,Primavera-estate
134,42.1314170429551,12.864338626988191,No,Gastronomia,103,Vegan,Sì,Nessuna informazione,No,Nessuna informazione
135,40.53089554661143,8.776647029732107,No,Gastronomia,143,Nessuna informazione,Sì,Nessuna informazione,No,Autunno-inverno
136,44.060232106595684,9.823514970898772,Sì,Bed & Breakfast,393,Vegetarian,Sì,Primavera-estate,No,Primavera-estate
137,43.813393808925,11.855219344006837,No,All'aperto,443,Vegetarian,No,Autunno-inverno,No,Primavera-estate
138,42.97908452720263,10.510636465629986,Sì,Ostello,421,Nessuna informazione,Sì,Primavera-estate,Sì,Primavera-estate
139,40.63505088886753,16.84719049094227,No,Gastronomia,29,Nessuna informazione,Sì,Nessuna informazione,No,Primavera-estate
140,46.35929059730676,11.83263271175878,Sì,Villaggio turistico,57,Vegetarian,Sì,Nessuna informazione,No,Autunno-inverno
141,42.207917561032104,14.176722251054231,No,Gastronomia,292,Gluten-free,Sì,Primavera-estate,No,Autunno-inverno
142,45.086656360206646,11.834032203873635,No,All'aperto,369,Vegan,Sì,Autunno-inverno,Sì,Nessuna informazione
143,39.832539896820535,8.620153863881708,Sì,Bed & Breakfast,265,Vegetarian,Sì,Autunno-inverno,No,Nessuna informazione
144,42.81379759859752,13.45255538474802,No,Gastronomia,327,Vegan,No,Primavera-estate,Sì,Primavera-estate
145,39.68241256168341,16.415316654127142,No,Gastronomia,381,Vegan,No,Nessuna informazione,Sì,Primavera-estate
146,44.76219113225732,9.295401061045089,Sì,Hotel,253,Nessuna informazione,Sì,Nessuna informazione,No,Autunno-inverno
147,40.680721144348425,14.703722067313638,Sì,Bed & Breakfast,241,Gluten-free,Sì,Primavera-estate,Sì,Autunno-inverno
148,44.606732543778776,10.624198505250742,Sì,Ostello,374,Vegetarian,Sì,Primavera-estate,Sì,Primavera-estate
149,45.28119957302229,8.305667633181782,No,All'aperto,215,Gluten-free,Sì,Autunno-inverno,No,Nessuna informazione
150,37.59393653198974,13.469822526684872,Sì,Hotel,428,Gluten-free,Sì,Nessuna informazione,Sì,Autunno-inverno
151,41.51795727161797,14.712932855137211,No,Visite storico-culturali,178,Nessuna informazione,No,Nessuna informazione,Sì,Autunno-inverno
152,43.32792141032361,11.836688469026265,Sì,Ostello,458,Nessuna informazione,No,Nessuna informazione,No,Primavera-estate
153,44.9889672013682,11.723265455216872,No,Visite storico-culturali,293,Vegetarian,No,Primavera-estate,No,Nessuna informazione
154,37.90641997854537,14.137572661079135,No,All'aperto,491,Nessuna informazione,Sì,Autunno-inverno,No,Nessuna informazione
155,45.90310839259507,9.550640494923835,No,Gastronomia,105,Vegetarian,Sì,Nessuna informazione,No,Nessuna informazione
156,42.33951048184089,13.166480668260231,Sì,Hotel,223,Vegan,Sì,Primavera-estate,Sì,Autunno-inverno
157,38.01557474889382,14.974498308782644,Sì,Ostello,406,Nessuna informazione,Sì,Nessuna informazione,No,Autunno-inverno
158,42.26268183043148,11.90641718934608,No,Gastronomia,53,Gluten-free,Sì,Autunno-inverno,No,Autunno-inverno
159,46.8557190728609,11.221985042211152,Sì,Bed & Breakfast,496,Vegan,Sì,Autunno-inverno,Sì,Nessuna informazione
160,43.28719089259064,12.980014336177994,Sì,Villaggio turistico,195,Vegan,No,Primavera-estate,No,Nessuna informazione
161,40.23441706964114,16.396640162822795,Sì,Hotel,77,Vegan,Sì,Nessuna informazione,No,Primavera-estate
162,45.82471385971371,10.452419632356891,No,All'aperto,300,Nessuna informazione,Sì,Nessuna informazione,No,Autunno-inverno
163,40.048791246489436,8.577297968629699,Sì,Ostello,322,Vegan,No,Nessuna informazione,Sì,Primavera-estate
164,45.8846184428091,8.629241966682889,Sì,Ostello,129,Vegan,Sì,Nessuna informazione,Sì,Autunno-inverno
165,45.891963083320576,10.432944929996438,Sì,Bed & Breakfast,137,Vegetarian,No,Autunno-inverno,No,Primavera-estate
166,41.76180267142006,14.203156541689768,No,Visite storico-culturali,104,Vegetarian,No,Primavera-estate,No,Autunno-inverno
167,46.267405343116295,9.506942349362305,Sì,Bed & Breakfast,300,Gluten-free,Sì,Primavera-estate,No,Nessuna informazione
168,45.95980659914058,12.378426239368105,No,Gastronomia,470,Gluten-free,Sì,Primavera-estate,No,Autunno-inverno
169,45.38567163575479,9.69463683888404,No,All'aperto,165,Gluten-free,Sì,Primavera-estate,Sì,Autunno-inverno
170,41.056106216296904,9.377900253312703,Sì,Bed & Breakfast,228,Gluten-free,Sì,Autunno-inverno,No,Nessuna informazione
171,38.189317231601336,15.342727956098514,No,Visite storico-culturali,440,Nessuna informazione,Sì,Autunno-inverno,Sì,Primavera-estate
172,45.72467202611896,9.839139858649478,Sì,Hotel,300,Vegetarian,No,Autunno-inverno,No,Nessuna informazione
173,45.79311813931969,8.421400747725485,Sì,Ostello,450,Vegan,Sì,Nessuna informazione,No,Autunno-inverno
174,45.96693893098758,12.878394228324005,No,Visite storico-culturali,294,Vegetarian,Sì,Nessuna informazione,No,Primavera-estate
175,41.637618913041905,12.801553981081373,Sì,Ostello,271,Gluten-free,Sì,Nessuna informazione,Sì,Nessuna informazione
176,42.47701389756407,13.019058363901308,No,Gastronomia,446,Gluten-free,No,Nessuna informazione,No,Primavera-estate
177,43.33907339773825,12.942059197975999,No,Visite storico-culturali,223,Vegetarian,Sì,Primavera-estate,No,Autunno-inverno
178,43.55126895850296,12.310500752882293,No,Gastronomia,98,Nessuna informazione,Sì,Nessuna informazione,Sì,Nessuna informazione
179,39.87359541700821,16.207217549488135,No,All'aperto,261,Gluten-free,No,Autunno-inverno,No,Autunno-inverno
180,45.681940241301106,12.708116149399718,Sì,Bed & Breakfast,281,Gluten-free,No,Primavera-estate,No,Autunno-inverno
181,41.81442790049128,14.195154133880312,No,All'aperto,437,Vegetarian,Sì,Primavera-estate,No,Autunno-inverno
182,43.21118935755468,12.095020774528933,No,Visite storico-culturali,118,Nessuna informazione,No,Primavera-estate,No,Nessuna informazione
183,45.48093257359134,9.015671582673564,No,Gastronomia,452,Vegan,No,Nessuna informazione,Sì,Autunno-inverno
184,42.4700058288781,13.908345762365355,Sì,Hotel,86,Nessuna informazione,Sì,Nessuna informazione,Sì,Nessuna informazione
185,46.085581374280295,11.250468887180421,Sì,Villaggio turistico,451,Gluten-free,No,Nessuna informazione,Sì,Autunno-inverno
186,40.17134278086593,18.044715370716318,Sì,Hotel,359,Nessuna informazione,Sì,Nessuna informazione,Sì,Autunno-inverno
187,37.48164232606003,14.505685141529874,Sì,Villaggio turistico,54,Gluten-free,No,Nessuna informazione,No,Primavera-estate
188,44.87244175098515,10.866266932544036,Sì,Hotel,117,Nessuna informazione,Sì,Nessuna informazione,Sì,Primavera-estate
189,41.64479628773037,14.703824522369281,No,All'aperto,389,Vegetarian,Sì,Autunno-inverno,No,Nessuna informazione
190,39.97334416732677,15.750989567203494,No,All'aperto,153,Gluten-free,Sì,Autunno-inverno,No,Nessuna informazione
191,45.573734892103445,10.840291729513819,Sì,Bed & Breakfast,20,Gluten-free,Sì,Primavera-estate,Sì,Autunno-inverno
192,40.9017911752373,17.357791251304356,No,Visite storico-culturali,243,Gluten-free,No,Autunno-inverno,Sì,Autunno-inverno
193,45.9258521454237,7.557135195250532,Sì,Bed & Breakfast,242,Vegetarian,No,Nessuna informazione,No,Primavera-estate
194,44.15636014898503,12.060207848479367,No,All'aperto,317,Gluten-free,No,Autunno-inverno,Sì,Nessuna informazione
195,45.31985654019888,7.509355328303264,No,Visite storico-culturali,111,Nessuna informazione,Sì,Nessuna informazione,No,Primavera-estate
196,45.49143565678768,11.72455416225801,No,All'aperto,448,Nessuna informazione,No,Nessuna informazione,No,Primavera-estate
197,43.61546195590034,10.684441327090827,No,Visite storico-culturali,59,Vegan,Sì,Primavera-estate,No,Autunno-inverno
198,42.7024835237428,11.607882152392074,No,Gastronomia,140,Vegan,No,Autunno-inverno,No,Nessuna informazione
199,40.31754833100153,15.486102864489112,Sì,Bed & Breakfast,66,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
200,41.20903774940459,15.41640443194111,No,All'aperto,453,Nessuna informazione,No,Autunno-inverno,No,Nessuna informazione
201,41.10785129314232,14.982898762710473,No,Gastronomia,415,Gluten-free,Sì,Nessuna informazione,No,Nessuna informazione
202,37.7645907337941,13.218394581959318,No,Gastronomia,470,Nessuna informazione,No,Nessuna informazione,Sì,Nessuna informazione
203,46.611503899866335,10.166841444987886,No,Gastronomia,402,Nessuna informazione,Sì,Nessuna informazione,Sì,Nessuna informazione
204,43.066580803076704,13.794480221309035,No,All'aperto,168,Vegetarian,No,Autunno-inverno,Sì,Primavera-estate
205,45.90634944980045,10.950177900009777,Sì,Bed & Breakfast,75,Vegetarian,No,Autunno-inverno,Sì,Nessuna informazione
206,43.053190235179244,12.273765673965544,No,All'aperto,473,Vegan,No,Primavera-estate,Sì,Nessuna informazione
207,39.804035292971236,9.611228836636597,No,All'aperto,384,Vegetarian,No,Autunno-inverno,No,Autunno-inverno
208,43.71000526485277,10.640445329449978,Sì,Villaggio turistico,212,Nessuna informazione,No,Autunno-inverno,No,Nessuna informazione
209,44.80478693266774,9.368844011609031,Sì,Villaggio turistico,172,Vegan,No,Primavera-estate,Sì,Primavera-estate
210,43.83350848161092,11.450900491797444,Sì,Hotel,284,Gluten-free,Sì,Primavera-estate,No,Autunno-inverno
211,44.60281325429036,7.765852985385388,No,Visite storico-culturali,184,Vegan,No,Primavera-estate,No,Nessuna informazione
212,39.698886255953376,8.720986433291326,No,All'aperto,482,Gluten-free,No,Autunno-inverno,Sì,Primavera-estate
213,41.94552954220929,13.529910395185567,Sì,Bed & Breakfast,164,Nessuna informazione,Sì,Autunno-inverno,Sì,Primavera-estate
214,46.354342306415404,11.046315284777243,Sì,Bed & Breakfast,479,Vegetarian,Sì,Nessuna informazione,No,Primavera-estate
215,43.57863649480568,13.546830967708424,No,Visite storico-culturali,421,Nessuna informazione,No,Nessuna informazione,No,Nessuna informazione
216,38.09787352813831,13.333047059087281,Sì,Bed & Breakfast,105,Vegetarian,Sì,Autunno-inverno,Sì,Primavera-estate
217,45.76400289674195,7.059666665869391,Sì,Ostello,32,Nessuna informazione,No,Primavera-estate,No,Primavera-estate
218,40.98251909333164,16.676597553883838,No,Visite storico-culturali,454,Vegan,No,Nessuna informazione,Sì,Primavera-estate
219,43.20991738818175,12.849345340264128,Sì,Hotel,464,Vegan,Sì,Nessuna informazione,Sì,Autunno-inverno
220,40.51369488663086,17.883865296939074,No,Visite storico-culturali,91,Vegetarian,No,Nessuna informazione,No,Primavera-estate
221,46.09936890694231,13.241710994344988,Sì,Hotel,175,Vegetarian,No,Primavera-estate,Sì,Primavera-estate
222,36.87001430736429,14.577884578996581,No,Visite storico-culturali,248,Vegan,Sì,Autunno-inverno,No,Autunno-inverno
223,40.32608878650237,15.179147078137436,No,Visite storico-culturali,470,Vegan,No,Autunno-inverno,No,Autunno-inverno
224,42.58453769963565,11.973392335162618,No,All'aperto,146,Nessuna informazione,Sì,Nessuna informazione,Sì,Nessuna informazione
225,39.30094637694946,16.68325226438292,No,All'aperto,21,Vegetarian,Sì,Nessuna informazione,Sì,Primavera-estate
226,40.1988040113646,16.098429189447952,No,Gastronomia,273,Nessuna informazione,Sì,Nessuna informazione,Sì,Primavera-estate
227,38.419143800158174,16.253418623156314,Sì,Ostello,307,Vegan,No,Nessuna informazione,Sì,Autunno-inverno
